scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,600,1000,0,1,-1,2,802,802,802,903,101
leader_crash_restart,600,1000,0,1,-1,4,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,0,3814,3814,3814,3914,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,4,501,501,501,602,101
leader_crash_restart,600,1000,0,1,-1,1,5420,5420,5420,5521,101
leader_crash_restart,600,1000,0,1,-1,1,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,2,1908,1907,1908,2008,100
leader_crash_restart,600,1000,0,1,-1,4,1305,1305,1305,1405,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,1,2007,2007,2007,2107,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,1706,1706,1706,1807,101
leader_crash_restart,600,1000,0,1,-1,0,4815,4815,4815,4915,100
leader_crash_restart,600,1000,0,1,-1,1,300,300,300,400,100
leader_crash_restart,600,1000,0,1,-1,3,3613,3613,3613,3714,101
leader_crash_restart,600,1000,0,1,-1,1,302,302,302,402,100
leader_crash_restart,600,1000,0,1,-1,3,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,0,2510,2510,2510,2610,100
leader_crash_restart,600,1000,0,1,-1,3,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,2,500,500,500,601,101
leader_crash_restart,600,1000,0,1,-1,3,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,3,501,501,501,601,100
leader_crash_restart,600,1000,0,1,-1,4,502,502,502,602,100
leader_crash_restart,600,1000,0,1,-1,2,312,300,312,401,89
leader_crash_restart,600,1000,0,1,-1,2,404,402,404,503,99
leader_crash_restart,600,1000,0,1,-1,1,303,303,303,403,100
leader_crash_restart,600,1000,0,1,-1,2,1320,1320,1320,1420,100
leader_crash_restart,600,1000,0,1,-1,0,2418,2418,2418,2518,100
leader_crash_restart,600,1000,0,1,-1,0,506,506,506,606,100
leader_crash_restart,600,1000,0,1,-1,3,301,301,301,401,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,502,101
leader_crash_restart,600,1000,0,1,-1,4,403,402,403,502,99
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,503,101
leader_crash_restart,600,1000,0,1,-1,0,402,402,402,502,100
leader_crash_restart,600,1000,0,1,-1,0,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,2,803,803,803,904,101
leader_crash_restart,600,1000,0,1,-1,4,2107,2107,2107,2207,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,3513,3512,3513,3613,100
leader_crash_restart,600,1000,0,1,-1,2,401,401,401,503,102
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,501,100
leader_crash_restart,600,1000,0,1,-1,1,401,401,401,503,102
leader_crash_restart,600,1000,0,1,-1,1,802,802,802,902,100
leader_crash_restart,600,1000,0,1,-1,0,8334,8334,8334,8434,100
leader_crash_restart,600,1000,0,1,-1,3,703,703,703,803,100
leader_crash_restart,600,1000,0,1,-1,1,801,801,801,902,101
leader_crash_restart,600,1000,0,1,-1,2,5019,5019,5019,5120,101
